Type,Genre,Sub-genre,Topic,Low level,mid level,high level,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Non-fiction,Science and technology,Ocean organisms,Dolphin,1,4,6,,,,1st
Non-fiction,Science and technology,Ocean organisms,Shark,1,2,4,,,,
Non-fiction,Science and technology,Ocean organisms,Whale,1,4,5,,,,
Non-fiction,Science and technology,Ocean organisms,Octopus,1,4,5,,,,
Non-fiction,Science and technology,Ocean organisms,Clownfish,1,4,6,,,,
Non-fiction,Science and technology,Ocean organisms,Sea turtle,2,5,8,,,,
Non-fiction,Science and technology,Ocean organisms,Jellyfish,2,4,6,,,,
Non-fiction,Science and technology,Ocean organisms,Seahorse,2,4,5,,,,
Non-fiction,Science and technology,Ocean organisms,Starfish,2,3,5,,,,
Non-fiction,Science and technology,Ocean organisms,Lobster,2,4,6,,,,
Non-fiction,Science and technology,Ocean organisms,Crab,3,5,6,,,,
Non-fiction,Science and technology,Ocean organisms,Squid,3,6,7,,,,
Non-fiction,Science and technology,Ocean organisms,Coral,3,6,9,,,,
Non-fiction,Science and technology,Ocean organisms,Penguin,3,4,5,,,,
Non-fiction,Science and technology,Ocean organisms,Manatee,3,4,5,,,,
Non-fiction,Science and technology,Ocean organisms,Sea otter,4,7,9,,,,
Non-fiction,Science and technology,Ocean organisms,Swordfish,4,5,6,,,,
Non-fiction,Science and technology,Ocean organisms,Manta ray,4,7,9,,,,
Non-fiction,Science and technology,Ocean organisms,Eel,4,5,7,,,,
Non-fiction,Science and technology,Ocean organisms,Angelfish,4,5,8,,,,
Non-fiction,Science and technology,Ocean organisms,Barracuda,5,7,9,,,,
Non-fiction,Science and technology,Ocean organisms,Orca,5,6,8,,,,
Non-fiction,Science and technology,Ocean organisms,Clown triggerfish,5,6,7,,,,
Non-fiction,Science and technology,Ocean organisms,Sea lion,5,6,8,,,,
Non-fiction,Science and technology,Ocean organisms,Sea urchin,5,7,8,,,,
Non-fiction,Science and technology,Ocean organisms,Blue tang (surgeonfish),6,7,10,,,,
Non-fiction,Science and technology,Ocean organisms,Humpback whale,6,8,9,,,,
Non-fiction,Science and technology,Ocean organisms,Sea anemone,6,8,10,,,,
Non-fiction,Science and technology,Ocean organisms,Moray eel,6,7,8,,,,
Non-fiction,Science and technology,Ocean organisms,Marlin,6,9,12,,,,
Non-fiction,Science and technology,Ocean organisms,Hermit crab,7,10,12,,,,
Non-fiction,Science and technology,Ocean organisms,Sea cucumber,7,8,9,,,,
Non-fiction,Science and technology,Ocean organisms,Dugong,7,9,10,,,,
Non-fiction,Science and technology,Ocean organisms,Nautilus,7,10,13,,,,
Non-fiction,Science and technology,Ocean organisms,Pufferfish,7,10,13,,,,
Non-fiction,Science and technology,Ocean organisms,Hammerhead shark,8,11,14,,,,
Non-fiction,Science and technology,Ocean organisms,Sea horse (hippocampus),8,10,11,,,,
Non-fiction,Science and technology,Ocean organisms,Box jellyfish,8,11,13,,,,
Non-fiction,Science and technology,Ocean organisms,Lionfish,8,11,13,,,,
Non-fiction,Science and technology,Ocean organisms,Giant clam,8,9,10,,,,
Non-fiction,Science and technology,Ocean organisms,Cuttlefish,9,12,15,,,,
Non-fiction,Science and technology,Ocean organisms,Barramundi cod,9,12,13,,,,
Non-fiction,Science and technology,Ocean organisms,Portuguese man o' war,9,11,13,,,,
Non-fiction,Science and technology,Ocean organisms,Beluga whale,9,10,11,,,,
Non-fiction,Science and technology,Ocean organisms,Leafy sea dragon,9,10,12,,,,
Non-fiction,Science and technology,Ocean organisms,Goblin shark,10,11,12,,,,
Non-fiction,Science and technology,Ocean organisms,Vampire squid,10,11,13,,,,
Non-fiction,Science and technology,Ocean organisms,Blobfish,10,11,12,,,,
Non-fiction,Science and technology,Ocean organisms,Frilled shark,10,12,14,,,,
Non-fiction,Science and technology,Ocean organisms,Axolotl,10,13,16,,,,
Non-fiction,Science and technology,Arctic Organisms,Polar bear,1,3,6,,,,
Non-fiction,Science and technology,Arctic Organisms,Arctic fox,1,4,5,,,,
Non-fiction,Science and technology,Arctic Organisms,Walrus,1,3,6,,,,
Non-fiction,Science and technology,Arctic Organisms,Arctic hare,1,3,4,,,,
Non-fiction,Science and technology,Arctic Organisms,Snowy owl,1,2,4,,,,
Non-fiction,Science and technology,Arctic Organisms,Beluga whale,2,5,6,,,,
Non-fiction,Science and technology,Arctic Organisms,Narwhal,2,4,6,,,,
Non-fiction,Science and technology,Arctic Organisms,Harp seal,2,4,5,,,,
Non-fiction,Science and technology,Arctic Organisms,Arctic wolf,2,3,5,,,,
Non-fiction,Science and technology,Arctic Organisms,Reindeer (caribou),2,3,5,,,,
Non-fiction,Science and technology,Arctic Organisms,Muskox,3,5,6,,,,
Non-fiction,Science and technology,Arctic Organisms,Arctic tern,3,4,7,,,,
Non-fiction,Science and technology,Arctic Organisms,Arctic ground squirrel,3,4,7,,,,
Non-fiction,Science and technology,Arctic Organisms,Arctic cod,3,6,8,,,,
Non-fiction,Science and technology,Arctic Organisms,Snowshoe hare,3,4,7,,,,
Non-fiction,Science and technology,Arctic Organisms,Arctic char,4,5,7,,,,
Non-fiction,Science and technology,Arctic Organisms,Ivory gull,4,5,8,,,,
Non-fiction,Science and technology,Arctic Organisms,Bearded seal,4,5,8,,,,
Non-fiction,Science and technology,Arctic Organisms,Ringed seal,4,6,8,,,,
Non-fiction,Science and technology,Arctic Organisms,Lemming,4,7,9,,,,
Non-fiction,Science and technology,Arctic Organisms,Thick-billed murre,5,8,9,,,,
Non-fiction,Science and technology,Arctic Organisms,Greenland shark,5,6,8,,,,
Non-fiction,Science and technology,Arctic Organisms,Bowhead whale,5,7,9,,,,
Non-fiction,Science and technology,Arctic Organisms,Snow goose,5,6,9,,,,
Non-fiction,Science and technology,Arctic Organisms,Arctic poppy,5,6,9,,,,
Non-fiction,Science and technology,Arctic Organisms,Saber-toothed blenny,6,8,9,,,,
Non-fiction,Science and technology,Arctic Organisms,Arctic skua,6,8,10,,,,
Non-fiction,Science and technology,Arctic Organisms,Hooded seal,6,8,10,,,,
Non-fiction,Science and technology,Arctic Organisms,Polar cod,6,7,8,,,,
Non-fiction,Science and technology,Arctic Organisms,Arctic willow,6,9,10,,,,
Non-fiction,Science and technology,Arctic Organisms,Long-tailed jaeger,7,8,11,,,,
Non-fiction,Science and technology,Arctic Organisms,Little auk,7,8,10,,,,
Non-fiction,Science and technology,Arctic Organisms,Arctic jellyfish,7,8,10,,,,
Non-fiction,Science and technology,Arctic Organisms,Arctic loon,7,9,11,,,,
Non-fiction,Science and technology,Arctic Organisms,Ivory-billed gull,7,8,10,,,,
Non-fiction,Science and technology,Arctic Organisms,Purple saxifrage,8,11,14,,,,
Non-fiction,Science and technology,Arctic Organisms,Arctic charr,8,11,12,,,,
Non-fiction,Science and technology,Arctic Organisms,Lapland longspur,8,9,10,,,,
Non-fiction,Science and technology,Arctic Organisms,Ross's gull,8,10,13,,,,
Non-fiction,Science and technology,Arctic Organisms,Ribbon seal,8,11,13,,,,
Non-fiction,Science and technology,Arctic Organisms,Arctic lemming,9,11,12,,,,
Non-fiction,Science and technology,Arctic Organisms,Red phalarope,9,11,14,,,,
Non-fiction,Science and technology,Arctic Organisms,Arctic grayling,9,10,13,,,,
Non-fiction,Science and technology,Arctic Organisms,Arctic reindeer lichen,9,12,15,,,,
Non-fiction,Science and technology,Arctic Organisms,Arctic ternlet,9,11,14,,,,
Non-fiction,Science and technology,Arctic Organisms,Polar hare,10,13,16,,,,
Non-fiction,Science and technology,Arctic Organisms,Ivory-backed woodpecker,10,11,14,,,,
Non-fiction,Science and technology,Arctic Organisms,Arctic flounder,10,12,13,,,,
Non-fiction,Science and technology,Arctic Organisms,Arctic lousewort,10,11,14,,,,
Non-fiction,Science and technology,Arctic Organisms,Arctic sea spider,10,12,15,,,,
Non-fiction,Science and technology,Desert Organisms,Camel,1,2,4,,,,
Non-fiction,Science and technology,Desert Organisms,Cactus,1,3,5,,,,
Non-fiction,Science and technology,Desert Organisms,Scorpion,1,3,6,,,,
Non-fiction,Science and technology,Desert Organisms,Desert tortoise,1,2,3,,,,
Non-fiction,Science and technology,Desert Organisms,Rattlesnake,1,3,6,,,,
Non-fiction,Science and technology,Desert Organisms,Jackrabbit,2,4,7,,,,
Non-fiction,Science and technology,Desert Organisms,Gila monster,2,4,7,,,,
Non-fiction,Science and technology,Desert Organisms,Fennec fox,2,3,6,,,,
Non-fiction,Science and technology,Desert Organisms,Desert iguana,2,5,7,,,,
Non-fiction,Science and technology,Desert Organisms,Roadrunner,2,3,6,,,,
Non-fiction,Science and technology,Desert Organisms,Tarantula,3,6,9,,,,
Non-fiction,Science and technology,Desert Organisms,Sidewinder snake,3,5,8,,,,
Non-fiction,Science and technology,Desert Organisms,Pronghorn antelope,3,6,7,,,,
Non-fiction,Science and technology,Desert Organisms,Kangaroo rat,3,6,9,,,,
Non-fiction,Science and technology,Desert Organisms,Desert bighorn sheep,3,6,9,,,,
Non-fiction,Science and technology,Desert Organisms,Saguaro cactus,4,5,7,,,,
Non-fiction,Science and technology,Desert Organisms,Thorny devil,4,6,8,,,,
Non-fiction,Science and technology,Desert Organisms,Horned lizard,4,6,7,,,,
Non-fiction,Science and technology,Desert Organisms,Desert kit fox,4,5,8,,,,
Non-fiction,Science and technology,Desert Organisms,Desert hairy scorpion,4,6,7,,,,
Non-fiction,Science and technology,Desert Organisms,Desert jerboa,5,6,9,,,,
Non-fiction,Science and technology,Desert Organisms,Desert pupfish,5,8,11,,,,
Non-fiction,Science and technology,Desert Organisms,Desert horned viper,5,7,10,,,,
Non-fiction,Science and technology,Desert Organisms,Chuckwalla,5,8,11,,,,
Non-fiction,Science and technology,Desert Organisms,Desert sidewinder,5,7,8,,,,
Non-fiction,Science and technology,Desert Organisms,Desert spadefoot toad,6,7,10,,,,
Non-fiction,Science and technology,Desert Organisms,Desert monitor,6,9,12,,,,
Non-fiction,Science and technology,Desert Organisms,Desert lark,6,7,8,,,,
Non-fiction,Science and technology,Desert Organisms,Desert longhorn beetle,6,7,9,,,,
Non-fiction,Science and technology,Desert Organisms,Desert night lizard,6,7,8,,,,
Non-fiction,Science and technology,Desert Organisms,Desert pocket mouse,7,10,11,,,,
Non-fiction,Science and technology,Desert Organisms,Desert rain frog,7,10,11,,,,
Non-fiction,Science and technology,Desert Organisms,Desert millipede,7,8,11,,,,
Non-fiction,Science and technology,Desert Organisms,Desert sand verbena,7,9,10,,,,
Non-fiction,Science and technology,Desert Organisms,Desert kangaroo mouse,7,9,10,,,,
Non-fiction,Science and technology,Desert Organisms,Desert sand scorpion,8,11,13,,,,
Non-fiction,Science and technology,Desert Organisms,Desert centipede,8,9,11,,,,
Non-fiction,Science and technology,Desert Organisms,Desert sunflower,8,11,13,,,,
Non-fiction,Science and technology,Desert Organisms,Desert spider beetle,8,9,12,,,,
Non-fiction,Science and technology,Desert Organisms,Desert vole,8,10,13,,,,
Non-fiction,Science and technology,Desert Organisms,Desert marigold,9,10,13,,,,
Non-fiction,Science and technology,Desert Organisms,Desert snail,9,10,12,,,,
Non-fiction,Science and technology,Desert Organisms,Desert centaury,9,10,13,,,,
Non-fiction,Science and technology,Desert Organisms,Desert millipede,9,10,11,,,,
Non-fiction,Science and technology,Desert Organisms,Desert sunfish,9,11,14,,,,
Non-fiction,Science and technology,Desert Organisms,Desert seed beetle,10,13,15,,,,
Non-fiction,Science and technology,Desert Organisms,Desert firetail,10,13,16,,,,
Non-fiction,Science and technology,Desert Organisms,Desert centipede,10,11,14,,,,
Non-fiction,Science and technology,Desert Organisms,Desert horned grasshopper,10,11,14,,,,
Non-fiction,Science and technology,Desert Organisms,Desert rain beetle,10,11,14,,,,
Non-fiction,Science and technology,Prarie Organisms,Bison,1,3,4,,,,
Non-fiction,Science and technology,Prarie Organisms,Prairie dog,1,2,4,,,,
Non-fiction,Science and technology,Prarie Organisms,Deer,1,3,6,,,,
Non-fiction,Science and technology,Prarie Organisms,Hawk,1,3,5,,,,
Non-fiction,Science and technology,Prarie Organisms,Prairie chicken,1,3,4,,,,
Non-fiction,Science and technology,Prarie Organisms,Coyote,2,5,8,,,,
Non-fiction,Science and technology,Prarie Organisms,Grasshopper,2,5,7,,,,
Non-fiction,Science and technology,Prarie Organisms,Prairie rattlesnake,2,4,6,,,,
Non-fiction,Science and technology,Prarie Organisms,Bobcat,2,4,7,,,,
Non-fiction,Science and technology,Prarie Organisms,Meadowlark,2,4,6,,,,
Non-fiction,Science and technology,Prarie Organisms,Pronghorn,3,4,5,,,,
Non-fiction,Science and technology,Prarie Organisms,Gopher,3,6,7,,,,
Non-fiction,Science and technology,Prarie Organisms,Red-tailed hawk,3,4,6,,,,
Non-fiction,Science and technology,Prarie Organisms,Black-footed ferret,3,4,5,,,,
Non-fiction,Science and technology,Prarie Organisms,Antelope,3,6,7,,,,
Non-fiction,Science and technology,Prarie Organisms,Badger,4,6,7,,,,
Non-fiction,Science and technology,Prarie Organisms,Jackrabbit,4,5,7,,,,
Non-fiction,Science and technology,Prarie Organisms,Burrowing owl,4,7,10,,,,
Non-fiction,Science and technology,Prarie Organisms,Meadow vole,4,5,8,,,,
Non-fiction,Science and technology,Prarie Organisms,Western meadowlark,4,5,8,,,,
Non-fiction,Science and technology,Prarie Organisms,Swift fox,5,6,7,,,,
Non-fiction,Science and technology,Prarie Organisms,Grass snake,5,8,10,,,,
Non-fiction,Science and technology,Prarie Organisms,Upland sandpiper,5,8,9,,,,
Non-fiction,Science and technology,Prarie Organisms,Ring-necked pheasant,5,7,9,,,,
Non-fiction,Science and technology,Prarie Organisms,American kestrel,5,6,9,,,,
Non-fiction,Science and technology,Prarie Organisms,Pocket gopher,6,9,10,,,,
Non-fiction,Science and technology,Prarie Organisms,Grasshopper sparrow,6,9,12,,,,
Non-fiction,Science and technology,Prarie Organisms,Eastern cottontail,6,7,9,,,,
Non-fiction,Science and technology,Prarie Organisms,Western kingbird,6,7,8,,,,
Non-fiction,Science and technology,Prarie Organisms,Meadow jumping mouse,6,9,11,,,,
Non-fiction,Science and technology,Prarie Organisms,Henslow's sparrow,7,8,11,,,,
Non-fiction,Science and technology,Prarie Organisms,Mule deer,7,10,12,,,,
Non-fiction,Science and technology,Prarie Organisms,Plains leopard frog,7,10,13,,,,
Non-fiction,Science and technology,Prarie Organisms,Plains pocket gopher,7,8,9,,,,
Non-fiction,Science and technology,Prarie Organisms,Dickcissel,7,10,11,,,,
Non-fiction,Science and technology,Prarie Organisms,Short-eared owl,8,11,13,,,,
Non-fiction,Science and technology,Prarie Organisms,Eastern meadowlark,8,9,11,,,,
Non-fiction,Science and technology,Prarie Organisms,Plains garter snake,8,9,12,,,,
Non-fiction,Science and technology,Prarie Organisms,Plains bison,8,9,11,,,,
Non-fiction,Science and technology,Prarie Organisms,Plains harvest mouse,8,11,14,,,,
Non-fiction,Science and technology,Prarie Organisms,Greater prairie-chicken,9,12,14,,,,
Non-fiction,Science and technology,Prarie Organisms,Northern harrier,9,10,13,,,,
Non-fiction,Science and technology,Prarie Organisms,Loggerhead shrike,9,12,13,,,,
Non-fiction,Science and technology,Prarie Organisms,Plains spadefoot toad,9,10,11,,,,
Non-fiction,Science and technology,Prarie Organisms,American goldfinch,9,10,12,,,,
Non-fiction,Science and technology,Prarie Organisms,Grasshopper mouse,10,12,13,,,,
Non-fiction,Science and technology,Prarie Organisms,Eastern fox squirrel,10,11,12,,,,
Non-fiction,Science and technology,Prarie Organisms,Northern bobwhite,10,12,13,,,,
Non-fiction,Science and technology,Prarie Organisms,Plains pocket mouse,10,12,15,,,,
Non-fiction,Science and technology,Prarie Organisms,Prairie mole cricket,10,12,14,,,,
Non-fiction,History,Festivals,Carnival (Brazil),1,2,3,,,,
Non-fiction,History,Festivals,Diwali (India),1,2,4,,,,
Non-fiction,History,Festivals,Chinese New Year (China),1,2,3,,,,
Non-fiction,History,Festivals,Oktoberfest (Germany),1,2,5,,,,
Non-fiction,History,Festivals,Holi (India),1,4,6,,,,
Non-fiction,History,Festivals,Christmas (Worldwide),2,5,8,,,,
Non-fiction,History,Festivals,Mardi Gras (United States),2,5,7,,,,
Non-fiction,History,Festivals,Songkran Water Festival (Thailand),2,4,5,,,,
Non-fiction,History,Festivals,Eid al-Fitr (Muslim countries),2,5,8,,,,
